# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Jul 23 16:54:21 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: VISTA <i>ZYJHK</i><sub>s</sub> (Vegamag)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Zmag    Ymag    Jmag    Hmag    Ksmag
0.0015467 -1.00000 9.30103 0.5000000000 2.2374541529    0.500 -1.197  3.6300  4.806    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.47e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.762 6.860 6.606 6.171 5.592 5.453
0.0015467 -1.00000 9.30103 0.5089590549 2.2465030380    0.509 -1.161  3.6355  4.800    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.84e-15      0.00 7.481e-01 2.503e-01 2.918e-04 7.872e-05 7.140e-04 -1.000 1.619e-03 7.673 6.777 6.528 6.096 5.518 5.386
0.0015467 -1.00000 9.30103 0.5500000715 2.2836583126    0.550 -1.006  3.6594  4.773    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.85e-15      0.00 7.531e-01 2.453e-01 2.864e-04 7.727e-05 7.009e-04 -1.000 1.571e-03 7.285 6.411 6.188 5.775 5.223 5.118
0.0015467 -1.00000 9.30103 0.5979371071 2.3197175951    0.598 -0.836  3.6854  4.745    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-14      0.00 7.544e-01 2.441e-01 2.851e-04 7.694e-05 6.979e-04 -1.000 1.578e-03 6.861 6.014 5.819 5.440 4.946 4.859
0.0015467 -1.00000 9.30103 0.6000000238 2.3211213258    0.600 -0.829  3.6865  4.744    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-14      0.00 7.544e-01 2.440e-01 2.851e-04 7.693e-05 6.978e-04 -1.000 1.578e-03 6.844 5.997 5.804 5.427 4.935 4.850
0.0015467 -1.00000 9.30103 0.6268859506 2.3384489070    0.627 -0.738  3.7008  4.728    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-14      0.00 7.553e-01 2.431e-01 2.842e-04 7.668e-05 6.956e-04 -1.000 1.546e-03 6.615 5.783 5.607 5.252 4.800 4.722
0.0015467 -1.00000 9.30103 0.6499999762 2.3520353107    0.650 -0.662  3.7127  4.716    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-14      0.00 7.561e-01 2.424e-01 2.834e-04 7.647e-05 6.937e-04 -1.000 1.560e-03 6.426 5.611 5.448 5.110 4.687 4.615
0.0015467 -1.00000 9.30103 0.6957731247 2.3759029894    0.696 -0.517  3.7359  4.693    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.06e-14      0.00 7.579e-01 2.406e-01 2.816e-04 7.600e-05 6.895e-04 -1.000 1.547e-03 6.064 5.289 5.151 4.844 4.474 4.413
0.0015467 -1.00000 9.30103 0.6999999881 2.3779266974    0.700 -0.505  3.7379  4.691    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-14      0.00 7.581e-01 2.404e-01 2.814e-04 7.595e-05 6.891e-04 -1.000 1.551e-03 6.031 5.261 5.124 4.820 4.454 4.394
0.0015467 -1.00000 9.30103 0.7277871370 2.3905602316    0.728 -0.421  3.7511  4.678    1  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -2.56e-14      0.00 7.595e-01 2.390e-01 2.780e-04 7.554e-05 6.860e-04 -1.000 1.546e-03 5.823 5.084 4.960 4.671 4.329 4.277
0.0015467 -1.00000 9.30103 0.7500000000 2.3998889087    0.750 -0.356  3.7613  4.666    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.96e-14      0.00 7.607e-01 2.378e-01 2.753e-04 7.520e-05 6.833e-04 -1.000 1.534e-03 5.661 4.951 4.835 4.557 4.232 4.186
0.0015467 -1.00000 9.30103 0.8000000119 2.4187244405    0.800 -0.217  3.7790  4.626    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.14e-14      0.00 7.654e-01 2.330e-01 2.708e-04 7.401e-05 6.726e-04 -1.000 1.550e-03 5.312 4.658 4.557 4.297 3.999 3.965
0.0015467 -1.00000 9.30103 0.8107858896 2.4224388677    0.810 -0.187  3.7824  4.616    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.46e-14      0.00 7.669e-01 2.316e-01 2.695e-04 7.364e-05 6.693e-04 -1.000 1.535e-03 5.238 4.596 4.498 4.240 3.948 3.915
0.0015467 -1.00000 9.30103 0.8500000238 2.4350346840    0.850 -0.082  3.7943  4.578    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -5.78e-14      0.00 7.727e-01 2.259e-01 2.640e-04 7.217e-05 6.562e-04 -1.000 1.468e-03 4.976 4.375 4.284 4.038 3.764 3.739
0.0015467 -1.00000 9.30103 0.8647845387 2.4394439331    0.864 -0.044  3.7985  4.564    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -6.37e-14      0.00 7.739e-01 2.247e-01 2.629e-04 7.189e-05 6.537e-04 -1.000 1.471e-03 4.879 4.292 4.205 3.964 3.696 3.673
0.0015467 -1.00000 9.30103 0.8952670097 2.4480084980    0.894  0.035  3.8069  4.534    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.78e-14      0.00 7.762e-01 2.223e-01 2.609e-04 7.138e-05 6.494e-04 -1.000 1.498e-03 4.682 4.126 4.044 3.811 3.557 3.539
